,SK_ID_PREV
count,3028490.0
mean,1903752.8428325667
std,536282.9894621623
min,1000003.0
25%,1434238.0
50%,1896948.0
75%,2369152.0
max,2843490.0
,SK_ID_CURR
count,3028490.0
mean,278625.68229744857
std,102632.9821078168
min,100006.0
25%,189930.0
50%,278939.0
75%,367786.0
max,456248.0
,MONTHS_BALANCE
count,3028490.0
mean,-35.84198792137336
std,26.464984642086083
min,-96.0
25%,-55.0
50%,-29.0
75%,-14.0
max,-1.0
,CNT_INSTALMENT
count,3023340.0
mean,18.351258211117507
std,13.001986867549054
min,1.0
25%,10.0
50%,12.0
75%,24.0
max,81.0
,CNT_INSTALMENT_FUTURE
count,3023332.0
mean,11.547734089408639
std,12.13751305414881
min,0.0
25%,3.0
50%,8.0
75%,16.0
max,72.0
,NAME_CONTRACT_STATUS
count,3028490
unique,9
top,Active
freq,2775984
,NAME_CONTRACT_STATUS
Active,2775984
Completed,225301
Signed,23234
Approved,1390
Returned to the store,1260
Demand,1228
Amortized debt,89
XNA,2
Canceled,2
,SK_DPD
count,3028490.0
mean,8.9630168830011
std,112.81732518402296
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,4231.0
,SK_DPD_DEF
count,3028490.0
mean,0.5654669488755122
std,30.977766420018877
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,3277.0
